"timestamp (ISO)";"user_id";"trial";"target_distance";"target_size";"movement_time (ms)";"click_offset_x";"click_offset_y";"number_of_errors"
"2017-06-06T10:41:56";"1";"22";"100";"200";"125";"76.0";"-1.0";"0"
"2017-06-06T10:41:56";"1";"23";"150";"50";"468";"17.0";"1.0";"0"
"2017-06-06T10:41:57";"1";"24";"250";"50";"560";"15.0";"9.0";"0"
"2017-06-06T10:41:58";"1";"25";"100";"20";"492";"4.0";"-16.0";"0"
"2017-06-06T10:41:58";"1";"26";"150";"50";"383";"25.0";"6.0";"0"
"2017-06-06T10:41:59";"1";"27";"250";"20";"702";"16.0";"-1.0";"0"
"2017-06-06T10:41:59";"1";"28";"100";"170";"281";"55.0";"5.0";"0"
"2017-06-06T10:42:00";"1";"29";"200";"200";"398";"88.0";"-3.0";"0"
"2017-06-06T10:42:00";"1";"30";"200";"50";"498";"16.0";"-2.0";"0"
"2017-06-06T10:42:01";"1";"31";"150";"200";"710";"29.0";"17.0";"0"
"2017-06-06T10:42:02";"1";"32";"200";"200";"275";"-75.0";"-9.0";"0"
"2017-06-06T10:42:02";"1";"33";"200";"170";"420";"70.0";"-5.0";"0"
"2017-06-06T10:42:02";"1";"34";"250";"170";"366";"55.0";"-6.0";"0"
"2017-06-06T10:42:03";"1";"35";"250";"200";"444";"59.0";"-11.0";"0"
"2017-06-06T10:42:03";"1";"36";"150";"170";"422";"41.0";"-22.0";"0"
"2017-06-06T10:42:04";"1";"37";"200";"20";"609";"-13.0";"5.0";"0"
"2017-06-06T10:42:05";"1";"38";"100";"50";"765";"-41.0";"5.0";"0"
"2017-06-06T10:42:06";"1";"39";"200";"20";"601";"1.0";"-3.0";"0"
"2017-06-06T10:42:06";"1";"40";"200";"200";"422";"67.0";"-9.0";"0"
"2017-06-06T10:42:07";"1";"41";"100";"50";"304";"14.0";"-8.0";"0"
"2017-06-06T10:42:07";"1";"42";"150";"200";"240";"4.0";"-14.0";"0"
"2017-06-06T10:42:09";"1";"43";"250";"20";"1536";"-11.0";"-6.0";"2"
"2017-06-06T10:42:10";"1";"44";"250";"50";"577";"23.0";"5.0";"0"
